memory,timeComplexity,dist
15,4864,28
10,4619,116
14,3166,24
15,3808,188
10,3063,24
15,3898,24
10,4340,32
10,4139,32
8,3853,40
10,2803,36
8,2316,44
9,4343,52
13,3171,48
12,2693,20
9,3556,28
10,4056,16
10,4312,60
8,2077,20
12,4051,40
10,2652,124
12,4099,20
11,3204,32
8,2537,48
10,3748,20
8,3430,16
12,4239,40
12,3630,44
13,3930,20
16,4357,56
10,4893,36
8,2657,20
10,4813,28
11,3871,20
15,4930,24
8,2888,36
10,2968,24
8,2282,-1
9,3553,28
12,4038,36
11,2922,20
8,2845,40
10,2308,24
9,4009,136
10,2630,24
8,3426,32
15,3836,32
14,4321,32
14,4433,64
9,4265,124
13,3834,216
12,2403,48
8,1621,56
13,3450,108
9,3596,32
10,3184,44
12,3289,44
8,3665,64
10,4040,16
9,3992,16
8,3200,52
10,1978,56
9,3155,68
12,3868,56
8,2531,52
9,3283,24
14,3891,56
8,3822,100
11,2406,44
11,4789,20
8,4490,44
8,3548,156
15,3853,504
11,3470,1044
11,4333,144
9,3103,92
13,4759,308
10,2193,180
13,3577,32
9,4407,28
10,2246,40
10,3085,56
13,4041,24
13,2725,32
10,3234,28
12,3461,32
8,3990,32
12,3304,20
10,4072,52
11,3164,60
8,2757,24
12,3276,320
11,4495,36
10,4083,288
14,3488,104
10,3000,164
10,4811,40
13,3326,88
13,2436,20
12,3684,92
7,2131,96
